file,year,n_station,stations_used,O2_250_400m_mean_mLL,sigma0_250_400m_mean,PT_250_400m_mean_degC,S_250_400m_mean
HM2011622.npy,2011,1,992,4.141369867549669,27.334023242078462,8.222806809374802,35.11601986754966
GOS2012115.npy,2012,1,444,3.822457483443708,27.31799987714192,8.218030819155958,35.09467549668874
HM2013624.npy,2013,1,1084,3.997489801324504,27.309118285502926,8.14592720599103,35.06938410596027
GOS2014117.npy,2014,1,389,3.3095949006622516,27.30292633679278,8.152062570555389,35.06268211920531
HM2015620.npy,2015,1,690,2.45684,27.288148721399732,8.137018023634262,35.04095364238411
HM2016619.npy,2016,1,951,2.1853800662251657,27.279770693202078,8.137732207156738,35.03041721854304
GOS2017114.npy,2017,1,300,1.9215711920529799,27.266349722243373,8.154796777717284,35.01661589403974
GOS2018111.npy,2018,7,"409, 410, 411, 412, 413, 414, 415",3.0352304162724693,27.24528983923045,8.099339451272298,34.9791059602649
KB2019602.npy,2019,8,"117, 122, 123, 125, 126, 127, 138, 161",3.322957313782461,27.234985318491248,8.103050792374967,34.96670959119264
KB2020603.npy,2020,18,"168, 173, 174, 175, 176, 177, 179, 180, 181, 182, 183, 214, 215, 218, 256, 257, 266, 267",3.1004395411135652,27.21939602950583,8.154195165201134,34.956697463724225
KB2021605.npy,2021,9,"245, 246, 247, 248, 249, 250, 251, 252, 255",3.002412847164876,27.20125013475249,8.193475544632328,34.94117898254509
KB2022602.npy,2022,4,"134, 135, 136, 144",3.9603700317789876,27.206477797117934,8.291176334116356,34.96682615894039
KB2023006004.npy,2023,7,"173, 174, 175, 176, 177, 183, 184",3.6256757598155156,27.189916542334256,8.272667409394503,34.9421069063387
HB2024009007.npy,2024,5,"12, 13, 14, 15, 23",3.395494607148643,27.182487962137305,8.288178445349077,34.935668729457944
HB2025009006.npy,2025,4,"3, 5, 7, 11",3.066453031898645,27.171548035124065,8.295569449647143,34.92314403973509
HB2026009004.npy,2026,4,"7, 8, 9, 11",4.673433466089252,27.225878870913434,8.3287689593697,34.99889886865343
